统一社会信用代码,企业名称,行业代码,主要业务活动,是否体育,体育业态,体育业务占比,置信度,样本ID,标注A_是否体育,标注A_体育业态,标注A_判断依据,标注B_是否体育,标注B_体育业态,标注B_判断依据,金标准_是否体育,金标准_体育业态,金标准_仲裁理由
91510522MADMJ8WXXL,泸州挑园图书销售店（个人独资）,5243,图书销售,False,非体育,0.0,0.0,130,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510100MA674TGD35,成都掌元科技有限公司,6429,网络技术服务,False,非体育,0.0,0.0,131,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510100MAACNBYY64,四川惠天邦工程造价咨询有限公司,7481,工程管理服务,False,非体育,0.0,0.0,132,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511126MA7CWCCE9U,乐山市脱兔体育发展有限公司,8392,篮球培训,True,体育培训,0.8736,0.95,133,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510822MA66CWKU91,四川青益商贸有限公司,5292,互联网食品零售,False,非体育,0.0,0.0,134,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510504MAC14MKT6W,泸州冠凯体育文化发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,135,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91513401MA7MJJ9X2T,四川大魔方体育文化传播有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,136,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510104MABUEKWQ1M,成都本心秀体育文化发展有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,137,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
92512022MA66R74Y3M,乐至县良安镇蓉华渔具经营店,5242,渔具零售,True,体育用品,0.8736,0.95,138,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510112MA6CNLQ66X,四川优胜达体育文化传播有限公司,8930,拓展训练,True,健身休闲,0.2125,0.85,139,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510108MABQ9JB1X8,爱极限成都体育文化传播有限公司,8392,体育课程培训,True,体育培训,0.2125,0.85,140,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106MA6BU1653J,成都思凯瑞体育用品有限公司,7246,体育咨询,True,体育管理,0.6611,0.9,141,是,体育管理,非代码+1信号+短文本,是,体育管理,非代码+1个信号,是,体育管理,双方一致
91510107MA7MMY8L55,成都易生园科技有限公司,5292,互联网零售,False,非体育,0.0,0.0,142,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510112MA64QBH01A,成都康寿之家健康管理有限公司,5225,保健品零售,False,非体育,0.0,0.0,143,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510304MA65XCKM2N,四川燎原星火教育管理有限公司,5242,体育用品及器材零售,True,体育用品,0.8736,0.95,144,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510105MACY0D8L8A,成都朝依项商贸有限公司,5292,互联网零售,False,非体育,0.0,0.0,145,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91513222MA62F1LX8M,理县毕棚沟半脊峰户外运动服务有限公司,8930,户外运动服务,True,健身休闲,0.8736,0.95,146,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91513401MA7HUAKT0U,西昌市星炫电竞俱乐部,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,147,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510108MAC962D32N,四川昌柏嘉远盛服装有限公司,5132,一般项目：服装服饰批发；服装服饰零售；服装辅料销售；服装、服饰检验、整理服务；服装服饰出租；鞋帽零售；鞋帽批发；特种劳动防护用品销售；劳动保护用品销售；互联网销售（除销售需要许可的商品）；日用品销售；会议及展览服务；组织文化艺术交流活动；针纺织品及原料销售；塑料制品销售；礼仪服务；针纺织品销售；体育用品及器材零售；办公用品销售；文具用品零售；广告设计、代理；平面设计；广告发布；日用百货销售；制鞋原辅材料销售；图文设计制作；企业形象策划；家居用品销售；文具用品批发；皮革制品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,False,非体育,0.0472,0.0,148,否,,非代码+1弱信号+长文本,是,体育用品,非代码+1个信号,是,体育用品,仲裁(A=False/B=True):非代码+1个信号
91510108MA6CT2J62K,成都青天霹雳体育文化传播有限公司,8921,体育训练,True,体育场馆,0.2125,0.85,149,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510107MA674L2L86,成都捷芙斯文化传播有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,150,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511303MAACHWKG47,四川桦崎世家商贸有限公司,5242,体育用品及器材零售,True,体育用品,0.8736,0.95,151,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510104790013761Q,成都市锦江区奇幻旅程网吧,9013,网吧电子竞技娱乐服务,True,电子竞技,0.6611,0.9,152,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
91512022MA6B0MA36Q,乐至县潮玩健身俱乐部,8930,,True,健身休闲,0.2125,0.85,153,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510107MACBK1B35Q,成都云七号国际旅行社有限公司,7291,旅游业务,False,非体育,0.075,0.0,154,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510300MAD265C485,自贡鑫港广告有限公司,7259,广告制作设计服务,False,非体育,0.075,0.0,155,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511902MABRKMQB6R,巴中市卓域广告有限公司,7259,广告制作,False,非体育,0.075,0.0,156,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91513401MA6CKQTT0P,西昌市绿谷有限责任公司,5242,体育用品零售,True,体育用品,0.8736,0.95,157,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510504MA6920EE0R,泸州市飞翔云端体育运动有限公司,8930,体育项目经营,True,健身休闲,0.2125,0.85,158,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106792176679W,成都鸿图广告有限公司,7259,广告设计制作,False,非体育,0.075,0.0,159,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510106MAACNDMH6Q,成都常知尚乐健康管理有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,160,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
915101063215499934,成都七彩堂网吧,9013,网吧服务,False,非体育,0.0,0.0,161,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511600735879407H,四川省新闻国际旅行社有限公司,7291,旅行社及相关服务,False,非体育,0.075,0.0,162,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
92511304MAACJRC26L,南充市嘉陵区乐朋茶坊,8930,棋牌健身活动,True,健身休闲,0.2125,0.85,163,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511324MA62YTLN6A,仪陇浩郅电子商务有限公司,5292,互联网零售,False,非体育,0.0,0.0,164,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510116MA7H21CW7C,成都市零即无限健身服务有限责任公司,8930,健身房健身活动,True,健身休闲,0.8736,0.95,165,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
92510703MA6AMU3755,绵阳匠心体育用品有限公司,5242,体育用品零售,True,体育用品,0.8736,0.95,166,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91511421MA67QEHP7Y,四川省威阳体育用品有限公司,5242,体育用品零售,True,体育用品,0.8736,0.95,167,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91511703MA6B2CFJ2X,达州市达川区曼氪健身服务有限公司,8930,室内休闲健身服务,True,健身休闲,0.8736,0.95,168,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511902MA7N3TB815,巴中市拉克利体育俱乐部有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,169,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510184MA61TD8H2B,成都饰祺建筑装饰工程有限公司,7259,广告制作服务,False,非体育,0.075,0.0,170,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510183MA644CC45M,成都育博小友体育文化有限公司,8911,组织策划运动赛事,True,体育管理,0.2125,0.85,171,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91511900MA6ARQM99H,中仪盈创（四川）工程项目管理有限公司,7481,工程管理服务,False,非体育,0.0,0.0,172,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510132MA7MW2NA8M,四川士达体育文化传播有限公司,8392,体育培训服务,True,体育培训,0.8736,0.95,173,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510183MA69UGGEXW,邛崃市睿博远体育文化传播有限公司,8392,体育活动,True,体育培训,0.2125,0.85,174,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510108MA64LYQ47A,文氏华承（成都）体育俱乐部有限公司,8392,体校及体育培训,True,体育培训,0.8736,0.95,175,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510704MABQPJXJ44,绵阳思迈健身有限责任公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,176,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510402MA6212NR8X,攀枝花市启航体育发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,177,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91511803MADGGEAL68,四川优亦优新材料科技有限责任公司,7320,工程和技术研究和试验发展,False,非体育,0.0,0.0,178,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511302MA632WYT27,南充金池源商贸有限公司,5225,保健食品零售,False,非体育,0.0,0.0,179,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511011085822336C,内江博众广告有限公司,7259,广告制作,False,非体育,0.075,0.0,180,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510107665327171W,成都黑锐文化传媒有限公司,7259,广告制作服务,False,非体育,0.075,0.0,181,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510781MABT4FN45X,绵阳禅悦音瑜伽健身有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,182,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510107MACK9EGY43,四川省奕乐连昇户外运动有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,183,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510000582155319A,四川如鑫商贸有限公司,5242,体育用品及器材零售,True,体育用品,0.8736,0.95,184,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510100MA697QGY5T,环奥文体发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,185,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510104MACU3JTK22,成都游桃纪旅行社有限公司,7291,旅行社服务,False,非体育,0.075,0.0,186,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511302MA6B08F3XJ,南充市远睿星源商务户外拓展培训有限公司,8930,户外拓展服务,True,健身休闲,0.8736,0.95,187,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510108MA6901G00K,成都欣希项荣文化传播有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,188,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510106MA6BX98L5W,成都市大千艺晖教育咨询服务有限责任公司,8321,小学教育培训,False,非体育,0.0,0.0,189,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510104MAE1MM919Y,四川中探坤宇体育发展有限公司,5142,体育用品,True,体育用品,0.8736,0.95,190,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510600MA6754QLXW,四川裕汇德科技有限公司,7320,电子产品研发,False,非体育,0.0,0.0,191,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511126MA66RFDJXC,夹江县剑英艺术培训有限公司,8392,跆拳道培训,True,体育培训,0.8736,0.95,192,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510502MA6335L55H,泸州市红崖谷拓展训练有限公司,8930,室外健身活动,True,健身休闲,0.2125,0.85,193,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91513400MA655G0U9A,凉山州新然瑜伽健身服务有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,194,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510184MA6CRW847E,成都联宝水族用品有限公司,5242,水族器材及用品零售,True,体育用品,0.2125,0.85,195,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91511502060300937C,宜宾市意腾商贸有限公司,5242,麻将机零售,True,体育用品,0.2125,0.85,196,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510704MACF152R5U,绵阳鑫鸿达工程管理有限公司,7481,工程管理服务,False,非体育,0.0,0.0,197,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510311MA6B4TA7X0,自贡明瑞体育俱乐部有限公司,8911,体育竞赛组织赛事策划,True,体育赛事,0.8736,0.95,198,是,体育赛事,直接代码+3个体育信号,是,体育赛事,直接代码+3个体育信号,是,体育赛事,双方一致
91510104MA7KGUUQ0Q,成都艺亦宸艺术发展有限公司,8919,文艺创作,True,体育管理,0.2125,0.85,199,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106MADB2AG27F,成都鸿志达体育文化推广有限公司,8911,体育赛事策划,True,体育赛事,0.8736,0.95,200,是,体育赛事,直接代码+2个体育信号,是,体育赛事,直接代码+2个体育信号,是,体育赛事,双方一致
91510106MA6C5P9H0X,成都众星恒宇体育场馆管理有限公司,8921,体育场管理服务,True,体育场馆,0.8736,0.95,201,是,体育场馆,直接代码+1个体育信号,是,体育场馆,直接代码+1个体育信号,是,体育场馆,双方一致
91510802MAACF3HH3L,广元市利州区贺家班体育培训中心有限公司,8912,体育文化推广,True,体育管理,0.8736,0.95,202,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91513401MABNXYT566,凉山强誉工程咨询有限公司,7481,工程管理服务,False,非体育,0.0,0.0,203,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510108MA6431P77J,四川君安康爱尚健康科技有限公司,8930,健康咨询服务,True,健身休闲,0.2125,0.85,204,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510100MA6DFU9U61,成都蜀成宏昊贸易有限公司,5193,互联网百货批发,False,非体育,0.0,0.0,205,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510132MA69R96F99,成都市兴禾建筑装饰工程有限公司,5011,建筑装饰装修,False,非体育,0.0,0.0,206,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510122720398520K,成都双流长宏广告装饰有限公司,7259,制作广告装饰材料,False,非体育,0.075,0.0,207,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
9151182434572213XK,四川王岗坪旅游开发有限公司,8921,滑雪场经营服务,True,体育场馆,0.8736,0.95,208,是,健身休闲,直接代码+2个体育信号,是,健身休闲,直接代码+2个体育信号,是,健身休闲,双方一致
915100006899297596,汇雅装饰集团有限公司,5011,公共建筑装饰和装修,False,非体育,0.0,0.0,209,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510114MA69FQ9817,成都市动之源体育用品有限公司,5142,体育用品及器材批发,True,体育用品,0.8736,0.95,210,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510121350619225D,成都洪盟天广告有限公司,7259,广告制作,False,非体育,0.075,0.0,211,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511132MAACGK1R5A,峨边力美健身服务有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,212,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
915101083215977765,四川金康利体育用品有限公司,5142,体育用品批发,True,体育用品,0.8736,0.95,213,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91511502MA62ADTX43,宜宾市万杰文体用品有限公司,5242,体育用品零售,True,体育用品,0.8736,0.95,214,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510115MACFKEY300,四川爱趣学体育发展有限公司,8392,青少年体育培训,True,体育培训,0.8736,0.95,215,是,体育培训,直接代码+2个体育信号,是,体育培训,直接代码+2个体育信号,是,体育培训,双方一致
91512021MACUDKY83C,四川宝森柠洲国际贸易有限公司,5181,贸易代理,False,非体育,0.0,0.0,216,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510105395912601W,四川省宽窄空间建筑装饰工程有限公司,5011,公共建筑装饰装修,False,非体育,0.0,0.0,217,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510107MA69URK94A,成都领跑者体育文化传播有限公司,8392,体育培训服务,True,体育培训,0.8736,0.95,218,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510132MA62N44K58,四川省今控环保科技有限公司,7320,工程和技术研究和实验发展,False,非体育,0.0,0.0,219,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510100MA6C6R4W2J,四川世纪蓝图教学设备有限公司,5142,体育用品批发,True,体育用品,0.8736,0.95,220,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510781323338663T,江油市伯菲健身服务有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,221,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510100MAD1NBKB42,成都桦润文化传媒有限公司,9052,组织体育表演活动,True,体育赛事,0.6611,0.9,222,是,体育赛事,非代码+1信号+短文本,是,体育赛事,非代码+1个信号,是,体育赛事,双方一致
92510922MA66UJUL1C,四川韩亿科技有限公司,6429,网络技术服务,False,非体育,0.0,0.0,223,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91513432MA62WQGA93,喜德高搜易康瑞永盛旅游合伙企业有限合伙,7291,旅行社及相关服务,False,非体育,0.075,0.0,224,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511923MA62D0BD72,平昌县新东方机动车驾驶培训有限公司,8391,职业技能培训,False,非体育,0.075,0.0,225,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91513232MA64EA89XU,若尔盖宜博电竞馆,9013,电子竞技服务,True,电子竞技,0.6611,0.9,226,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
91511902MACM5Q584R,巴中利勇工程机械租赁有限公司,7481,工程管理服务,False,非体育,0.0,0.0,227,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510112MAACMLQB9D,成都玖舞即现文化传播有限责任公司,8930,健身休闲服务,True,健身休闲,0.2125,0.85,228,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510106MACKBCQ132,四川亿众祥驰商业管理有限公司,7222,商业综合体管理服务,False,非体育,0.0,0.0,229,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510700MA6243L2XW,绵阳辉鹰广告有限公司,7259,广告设计制作,False,非体育,0.075,0.0,230,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510104MA6CL9XN69,成都锄头体育文化传播有限公司,8921,体育场馆租用,True,体育场馆,0.8736,0.95,231,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91511825MA66EMTL6W,天全县金辰体育发展有限公司,5242,体育器材零售,True,体育用品,0.8736,0.95,232,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510104MA64539G5A,四川九品兴工程项目管理咨询有限公司,7481,工程管理,False,非体育,0.0,0.0,233,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91512002MA6B5RK73B,资阳市时代劲享体育文化发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,234,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91511603MA68R6JE4T,四川祥和巷子电子商务有限公司,5292,互联网零售,False,非体育,0.0,0.0,235,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510106MAC11DU36R,成都市慷源朱古力体育文化传播有限公司,9052,组织体育表演活动,True,体育赛事,0.6611,0.9,236,是,体育赛事,非代码+1信号+短文本,是,体育赛事,非代码+1个信号,是,体育赛事,双方一致
91510105MA69W3930T,成都熊闷墩文化传播有限公司,8730,电影摄制服务,False,非体育,0.0,0.0,237,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511402MADHHDPF6W,四川橙香遇电子商务有限公司,5292,互联网零售,False,非体育,0.0,0.0,238,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510116MA65TG5C4U,中科芯创智能科技成都有限公司,7320,工程和技术研究和试验发展,False,非体育,0.0,0.0,239,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510504MA652P415Y,泸州市跃动体育文化传播有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,240,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510100MA68HNHA0Q,成都京尚众邦科技有限公司,6513,人工智能应用软件开发,False,非体育,0.075,0.0,241,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510502MA68KADM44,泸州市江阳区莱曼体育健身服务有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,242,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91512021MAD3MN807F,四川骄乐知服饰有限公司,1821,运动休闲针织服装制造,True,体育用品,0.2125,0.85,243,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106MA680TXP96,成都中胤装饰工程有限公司,8911,组织文化艺术交流活动,True,体育管理,0.2125,0.85,244,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510113MACB4HTQ4M,成都兴诚澳力健身有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,245,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
915101080928268617,四川笑脸宝贝体育文化传播有限公司,8911,体育活动策划,True,体育管理,0.2125,0.85,246,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
915101055920791967,成都康森文化体育用品有限公司,5142,体育用品批发,True,体育用品,0.8736,0.95,247,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510104MA6CL8YX1F,成都云端西行户外运动有限公司,8930,户外活动组织策划,True,健身休闲,0.2125,0.85,248,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91511802MA64FGF374,雅安新奥体育发展有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,249,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510903MA676N7F7P,遂宁方圆弈智围棋俱乐部有限责任公司,8911,体育项目组织服务,True,体育管理,0.2125,0.85,250,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510100MA63KDLN7D,成都魔方体育文化发展有限公司,8930,健身休闲服务,True,健身休闲,0.2125,0.85,251,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511421MA66B10R7B,四川里德体育服务有限公司,8919,体育类社会服务,True,体育管理,0.2125,0.85,252,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
915101813320797476,都江堰星未来拓展活动有限公司,8930,拓展活动服务,True,健身休闲,0.2125,0.85,253,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510900MACKAFMW4G,四川爱伽瑜文化传播有限责任公司,8930,体育健身服务,True,健身休闲,0.8736,0.95,254,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511303MA672J2G08,南充柏娅创美广告传媒有限公司,7259,体育广告服务,True,体育传媒,0.7361,0.9,255,是,体育传媒,间接代码+1个体育信号,是,体育传媒,间接代码+1个体育信号,是,体育传媒,双方一致
91510603MA67FLQE3J,四川晴阳防水工程有限公司,7482,公路工程监理,False,非体育,0.0,0.0,256,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510108357997851Y,成都思锐基业商贸有限公司,5242,塑胶跑道零售,True,体育用品,0.8736,0.95,257,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510114MA6B5LDEXM,四川龙振精武健身服务有限公司,8392,武术教育,True,健身休闲,0.8736,0.95,258,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510181MA6AHPB83L,成都减加健身有限公司,8930,健身休闲活动服务,True,健身休闲,0.2125,0.85,259,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510100MA69UHQQ47,四川天府力龙体育文化传播有限公司,8392,网球培训,True,体育培训,0.8736,0.95,260,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510922MA624QMC01,射洪市鹏语广告有限公司,7259,广告设计制作,False,非体育,0.075,0.0,261,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
